"Company Name","Executive First Name","Executive Last Name","Address","City","State","ZIP Code","Record Type","Latitude","Longitude","Location Employee Size Actual","Location Sales Volume Actual"
"Frank's Steak House","Bill","Ravanis Jr","2310 Massachusetts Ave","Cambridge","MA","02140","Verified","042.395334","-071.128334","00035","$1,957,000"
"Friendly Toast-Cambridge","Staci","Pinard","1 Kendall Sq # B3101","Cambridge","MA","02139","Verified","042.366665","-071.090897","00100","$5,591,000"
"Fuji At Kendall","Jimmy","Liang","300 3rd St","Cambridge","MA","02142","Verified","042.365281","-071.081983","00006","$336,000"
"Garden At The Cellar","Brandon","Arms","991 Massachusetts Ave # 1","Cambridge","MA","02138","Verified","042.369475","-071.110921","00010","$560,000"
"Genji","Julie","Mcmurtrie","115 Prospect St","Cambridge","MA","02139","Verified","042.368050","-071.102496","00006","$336,000"
"Genji","Fei","Tung","340 River St","Cambridge","MA","02139","Verified","042.361687","-071.113945","00006","$336,000"
"Giulia","","","1682 Massachusetts Ave","Cambridge","MA","02138","Verified","042.382506","-071.120101","00006","$336,000"
"Go Go Curry","","","581 Massachusetts Ave","Cambridge","MA","02139","Verified","042.365301","-071.102332","00006","$336,000"
"Grafton Street Pub Grill","Patrick","Lee","1230 Massachusetts Ave","Cambridge","MA","02138","Verified","042.372154","-071.115982","00120","$6,710,000"
"Gran Gusto","Giuseppe","Cascennanno","90 Sherman St # A","Cambridge","MA","02140","Verified","042.388474","-071.132133","00005","$280,000"
"Greek Corner Restaurant","Sammy","Boretos","2366 Massachusetts Ave","Cambridge","MA","02140","Verified","042.396358","-071.129563","00004","$224,000"
"Green St Grill","Dylan","Black","280 Green St","Cambridge","MA","02139","Verified","042.364520","-071.104193","00030","$1,678,000"
"Gregg Moree","","","25 Fairfield St","Cambridge","MA","02140","Verified","042.391755","-071.126269","00006","$336,000"
"Grendel's Den","Kari","Kulzer","89 Winthrop St","Cambridge","MA","02138","Verified","042.372377","-071.120642","00045","$2,516,000"
"Guangzhou Chinese Restaurant","Chun","Wong","1220 Cambridge St","Cambridge","MA","02139","Verified","042.373200","-071.097768","00002","$112,000"
"Gyu-KAKU","Toshinori","Hayakawa","16 Eliot St","Cambridge","MA","02138","Verified","042.372199","-071.121577","00033","$1,845,000"
"Half Shell Pizza","Paul","Lagoudakis","1760 Massachusetts Ave","Cambridge","MA","02140","Verified","042.385350","-071.119634","00003","$168,000"
"Harvard Faculty Club","Syed","Shahidullah","20 Quincy St","Cambridge","MA","02138","Verified","042.373730","-071.114726","00100","$0"
"Harvard House Of Pizza","Mike","Stamatakis","1706 Massachusetts Ave","Cambridge","MA","02138","Verified","042.383199","-071.119854","00003","$168,000"
"Harvard Nw Labs Office","","","52 Oxford St","Cambridge","MA","02138","Verified","042.377125","-071.115730","00006","$336,000"
"Harvest","Joseph","Kachuroi","44 Brattle St","Cambridge","MA","02138","Verified","042.373700","-071.121918","00075","$4,194,000"
"Harvest Of India","Vinay","Kumar","1001 Massachusetts Ave # 1","Cambridge","MA","02138","Verified","042.369644","-071.111271","00003","$168,000"
"Harvot Lotus Kui Inc","Lily","Chen","1712 Massachusetts Ave","Cambridge","MA","02138","Verified","042.383529","-071.119885","00030","$1,678,000"
"Healthy Pharms","Nat","Averill","98 Winthrop St","Cambridge","MA","02138","Verified","042.372303","-071.121246","00006","$336,000"
"Hearthstone Partners","Lisa","Ardolino","290 Main St","Cambridge","MA","02142","Verified","042.361971","-071.085504","00006","$336,000"
"Helmand","Mahmood","Karzai","143 1st St","Cambridge","MA","02142","Verified","042.366410","-071.078131","00020","$1,119,000"
"Henrietta's Table","Peter","Davis","1 Bennett St","Cambridge","MA","02138","Verified","042.371792","-071.122780","00060","$3,355,000"
"Herbert & Kong","","","777 Cambridge St","Cambridge","MA","02141","Verified","042.372498","-071.089536","00006","$336,000"
"Hi-Rise Bread Co","Rene","Becker","1663 Massachusetts Ave","Cambridge","MA","02138","Verified","042.381889","-071.119034","00006","$336,000"
"Hi-Rise Bread Co","Rene","Becker","208 Concord Ave","Cambridge","MA","02138","Verified","042.382461","-071.131449","00040","$2,237,000"
"Highland Fried","Mark","Romano","1271 Cambridge St","Cambridge","MA","02139","Verified","042.373597","-071.098651","00030","$1,678,000"
"Highway 61 Enterprises Inc","Jopseph","Dodd","67 Porter Rd","Cambridge","MA","02140","Verified","042.389455","-071.121156","00014","$783,000"
"Hissho Sushi","","","468 Broadway","Cambridge","MA","02138","Verified","042.373798","-071.113124","00006","$336,000"
